Year,Movie Title,Actor
1927,Wings,Clara Bow
1927,Wings, Charles 'Buddy' Rogers
1927,Wings, Richard Arlen
1927,Wings, Jobyna Ralston
1928,The Broadway Melody,Charles King
1928,The Broadway Melody, Anita Page
1928,The Broadway Melody, Bessie Love
1929,All Quiet on the Western Front,Louis Wolheim
1929,All Quiet on the Western Front, Lew Ayres
1929,All Quiet on the Western Front, John Wray
1929,All Quiet on the Western Front, Arnold Lucy
1930,Cimarron,Richard Dix
1930,Cimarron, Irene Dunne
1930,Cimarron, Estelle Taylor
1930,Cimarron, Nance O'Neil
1931,Grand Hotel,Greta Garbo
1931,Grand Hotel, John Barrymore
1931,Grand Hotel, Joan Crawford
1931,Grand Hotel, Wallace Beery
1932,Cavalcade,Diana Wynyard
1932,Cavalcade, Clive Brook
1932,Cavalcade, Una O'Connor
1932,Cavalcade, Herbert Mundin
1933,Cavalcade,Diana Wynyard
1933,Cavalcade, Clive Brook
1933,Cavalcade, Una O'Connor
1933,Cavalcade, Herbert Mundin
1934,It Happened One Night,Clark Gable
1934,It Happened One Night, Claudette Colbert
1934,It Happened One Night, Walter Connolly
1934,It Happened One Night, Roscoe Karns
1935,Mutiny on the Bounty,Charles Laughton
1935,Mutiny on the Bounty, Clark Gable
1935,Mutiny on the Bounty, Franchot Tone
1935,Mutiny on the Bounty, Herbert Mundin
1936,The Great Ziegfeld,William Powell
1936,The Great Ziegfeld, Myrna Loy
1936,The Great Ziegfeld, Luise Rainer
1936,The Great Ziegfeld, Frank Morgan
1937,The Life of Emile Zola,Paul Muni
1937,The Life of Emile Zola, Gale Sondergaard
1937,The Life of Emile Zola, Joseph Schildkraut
1937,The Life of Emile Zola, Gloria Holden
1938,You Can't Take It with You,Jean Arthur
1938,You Can't Take It with You, Lionel Barrymore
1938,You Can't Take It with You, James Stewart
1938,You Can't Take It with You, Edward Arnold
1939,Gone with the Wind,Thomas Mitchell
1939,Gone with the Wind, Barbara O'Neil
1939,Gone with the Wind, Vivien Leigh
1939,Gone with the Wind, Evelyn Keyes
