Award,Year,Movie Title,Movie Genre,Runtime,Actors,IMDB Rating,Rotten Tomatoes Rating
OUTSTANDING PICTURE,1927,Wings,"Drama, Romance, War, Action",144 min,"Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Jobyna Ralston",7.5/10,93%
OUTSTANDING PICTURE,1928,The Broadway Melody,"Drama, Musical, Romance",100 min,"Charles King, Anita Page, Bessie Love",5.7/10,36%
OUTSTANDING PRODUCTION,1929,All Quiet on the Western Front,"Drama, War",152 min,"Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy",8.0/10,98%
OUTSTANDING PRODUCTION,1930,Cimarron,"Drama, Western",123 min,"Richard Dix, Irene Dunne, Estelle Taylor, Nance O'Neil",5.9/10,52%
OUTSTANDING PRODUCTION,1931,Grand Hotel,"Drama, Romance",112 min,"Greta Garbo, John Barrymore, Joan Crawford, Wallace Beery",7.4/10,88%
OUTSTANDING PRODUCTION,1932,Cavalcade,"Drama, Romance, War",112 min,"Diana Wynyard, Clive Brook, Una O'Connor, Herbert Mundin",5.8/10,61%
OUTSTANDING PRODUCTION,1933,Cavalcade,"Drama, Romance, War",112 min,"Diana Wynyard, Clive Brook, Una O'Connor, Herbert Mundin",5.8/10,61%
OUTSTANDING PRODUCTION,1934,It Happened One Night,"Comedy, Romance",105 min,"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns",8.1/10,98%
OUTSTANDING PRODUCTION,1935,Mutiny on the Bounty,"Adventure, Biography, Drama, History, Romance",132 min,"Charles Laughton, Clark Gable, Franchot Tone, Herbert Mundin",7.7/10,93%
OUTSTANDING PRODUCTION,1936,The Great Ziegfeld,"Biography, Drama, Musical, Romance",176 min,"William Powell, Myrna Loy, Luise Rainer, Frank Morgan",6.7/10,66%
OUTSTANDING PRODUCTION,1937,The Life of Emile Zola,"Biography, Drama",116 min,"Paul Muni, Gale Sondergaard, Joseph Schildkraut, Gloria Holden",7.2/10,81%
OUTSTANDING PRODUCTION,1938,You Can't Take It with You,"Comedy, Drama, Romance",126 min,"Jean Arthur, Lionel Barrymore, James Stewart, Edward Arnold",7.9/10,93%
OUTSTANDING PRODUCTION,1939,Gone with the Wind,"Drama, History, Romance, War",238 min,"Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes",8.1/10,91%
