Year,Movie Title,Actor,Gender,Race
1927,Wings,Clara Bow,Female,White
1927,Wings, Charles 'Buddy' Rogers,Male,White
1927,Wings, Richard Arlen,Male,White
1927,Wings, Jobyna Ralston,Female,White
1928,The Broadway Melody,Charles King,Male,White
1928,The Broadway Melody, Anita Page,Female,White
1928,The Broadway Melody, Bessie Love,Female,White
1929,All Quiet on the Western Front,Louis Wolheim,Male,White
1929,All Quiet on the Western Front, Lew Ayres,Male,White
1929,All Quiet on the Western Front, John Wray,Male,White
1929,All Quiet on the Western Front, Arnold Lucy,Male,White
1930,Cimarron,Richard Dix,Male,White
1930,Cimarron, Irene Dunne,Female,White
1930,Cimarron, Estelle Taylor,Female,White
1930,Cimarron, Nance O'Neil,Female,White
1931,Grand Hotel,Greta Garbo,Female,White
1931,Grand Hotel, John Barrymore,Male,White
1931,Grand Hotel, Joan Crawford,Female,White
1931,Grand Hotel, Wallace Beery,Male,White
1932,Cavalcade,Diana Wynyard,Female,White
1932,Cavalcade, Clive Brook,Male,White
1932,Cavalcade, Una O'Connor,Female,White
1932,Cavalcade, Herbert Mundin,Male,White
1934,It Happened One Night,Clark Gable,Male,White
1934,It Happened One Night, Claudette Colbert,Female,White
1934,It Happened One Night, Walter Connolly,Male,White
1934,It Happened One Night, Roscoe Karns,Male,White
1935,Mutiny on the Bounty,Charles Laughton,Male,White
1935,Mutiny on the Bounty, Clark Gable,Male,White
1935,Mutiny on the Bounty, Franchot Tone,Male,White
1935,Mutiny on the Bounty, Herbert Mundin,Male,White
1936,The Great Ziegfeld,William Powell,Male,White
1936,The Great Ziegfeld, Myrna Loy,Female,White
1936,The Great Ziegfeld, Luise Rainer,Female,White
1936,The Great Ziegfeld, Frank Morgan,Male,White
1937,The Life of Emile Zola,Paul Muni,Male,White
1937,The Life of Emile Zola, Gale Sondergaard,Female,White
1937,The Life of Emile Zola, Joseph Schildkraut,Male,White
1937,The Life of Emile Zola, Gloria Holden,Female,White
1938,You Can't Take It with You,Jean Arthur,Female,White
1938,You Can't Take It with You, Lionel Barrymore,Male,White
1938,You Can't Take It with You, James Stewart,Male,White
1938,You Can't Take It with You, Edward Arnold,Male,White
1939,Gone with the Wind,Thomas Mitchell,Male,White
1939,Gone with the Wind, Barbara O'Neil,Female,White
1939,Gone with the Wind, Vivien Leigh,Female,White
1939,Gone with the Wind, Evelyn Keyes,Female,White
1940,Rebecca,Laurence Olivier,Male,White
1940,Rebecca, Joan Fontaine,Female,White
1940,Rebecca, George Sanders,Male,White
1940,Rebecca, Judith Anderson,Female,White
1941,How Green Was My Valley,Walter Pidgeon,Male,White
1941,How Green Was My Valley, Maureen O'Hara,Female,White
1941,How Green Was My Valley, Anna Lee,Female,White
1941,How Green Was My Valley, Donald Crisp,Male,White
1942,Mrs. Miniver,Greer Garson,Female,White
1942,Mrs. Miniver, Walter Pidgeon,Male,White
1942,Mrs. Miniver, Teresa Wright,Female,White
1942,Mrs. Miniver, May Whitty,Female,White
1943,Casablanca,Humphrey Bogart,Male,White
1943,Casablanca, Ingrid Bergman,Female,White
1943,Casablanca, Paul Henreid,Male,White
1943,Casablanca, Claude Rains,Male,White
1944,Going My Way,Bing Crosby,Male,White
1944,Going My Way, Barry Fitzgerald,Male,White
1944,Going My Way, Frank McHugh,Male,White
1944,Going My Way, James Brown,Male,White
1945,The Lost Weekend,Ray Milland,Male,White
1945,The Lost Weekend, Jane Wyman,Female,White
1945,The Lost Weekend, Phillip Terry,Male,White
1945,The Lost Weekend, Howard Da Silva,Male,White
1946,The Best Years of Our Lives,Myrna Loy,Female,White
1946,The Best Years of Our Lives, Fredric March,Male,White
1946,The Best Years of Our Lives, Dana Andrews,Female,White
1946,The Best Years of Our Lives, Teresa Wright,Female,White
1947,Gentleman's Agreement,Gregory Peck,Male,White
1947,Gentleman's Agreement, Dorothy McGuire,Female,White
1947,Gentleman's Agreement, John Garfield,Male,White
1947,Gentleman's Agreement, Celeste Holm,Female,White
1948,Hamlet,John Laurie,Male,White
1948,Hamlet,Esmond Knight,Male,White
1948,Hamlet,Anthony Quayle,Male,White
1948,Hamlet,Niall MacGinnis,Male,White
1949,All the King's Men,Broderick Crawford,Male,White
1949,All the King's Men,John Ireland,Male,White
1949,All the King's Men,Joanne Dru,Female,White
1949,All the King's Men,John Derek,Male,White
1950,All about Eve,Bette Davis,Female,White
1950,All about Eve, Anne Baxter,Female,White
1950,All about Eve, George Sanders,Male,White
1950,All about Eve, Celeste Holm,Female,White
1951,An American in Paris,Gene Kelly,Male,White
1951,An American in Paris, Leslie Caron,Female,White
1951,An American in Paris, Oscar Levant,Male,White
1951,An American in Paris, Georges Guétary,Male,White
1952,The Greatest Show on Earth,Betty Hutton,Female,White
1952,The Greatest Show on Earth, Cornel Wilde,Male,White
1952,The Greatest Show on Earth, Charlton Heston,Male,White
1952,The Greatest Show on Earth, Dorothy Lamour,Male,White
1953,From Here to Eternity,Burt Lancaster,Male,White
1953,From Here to Eternity, Montgomery Clift,Male,White
1953,From Here to Eternity, Deborah Kerr,Female,White
1953,From Here to Eternity, Donna Reed,Female,White
1954,On the Waterfront,Marlon Brando,Male,White
1954,On the Waterfront, Karl Malden,Male,White
1954,On the Waterfront, Lee J. Cobb,Male,White
1954,On the Waterfront, Rod Steiger,Male,White
1955,Marty,Ernest Borgnine,Male,White
1955,Marty, Betsy Blair,Female,White
1955,Marty, Esther Minciotti,Female,White
1955,Marty, Augusta Ciolli,Female,White
1956,Around the World in 80 Days,David Niven,Male,White
1956,Around the World in 80 Days,Cantinflas,Male,Not White
1956,Around the World in 80 Days,Shirley MacLaine,Female,White
1956,Around the World in 80 Days,Robert Newton,Male,White
1957,The Bridge on the River Kwai,William Holden,Male,White
1957,The Bridge on the River Kwai, Alec Guinness,Male,White
1957,The Bridge on the River Kwai, Jack Hawkins,Male,White
1957,The Bridge on the River Kwai, Sessue Hayakawa,Male,Not White
1958,Gigi,Leslie Caron,Female,White
1958,Gigi, Maurice Chevalier,Male,White
1958,Gigi, Louis Jourdan,Male,White
