year,category,winner,entity
1927,ACTOR,No,Richard Barthelmess
1927,ACTOR,Yes,Emil Jannings
1927,ACTRESS,No,Louise Dresser
1927,ACTRESS,Yes,Janet Gaynor
1927,ACTRESS,No,Gloria Swanson
1927,ART DIRECTION,No,Rochus Gliese
1927,ART DIRECTION,Yes,William Cameron Menzies
1927,ART DIRECTION,No,Harry Oliver
1927,CINEMATOGRAPHY,No,George Barnes
1927,CINEMATOGRAPHY,Yes,Charles Rosher
1927,CINEMATOGRAPHY,Yes,Karl Struss
1927,DIRECTING (Comedy Picture),Yes,Lewis Milestone
1927,DIRECTING (Comedy Picture),No,Ted Wilde
1927,DIRECTING (Dramatic Picture),Yes,Frank Borzage
1927,DIRECTING (Dramatic Picture),No,Herbert Brenon
1927,DIRECTING (Dramatic Picture),No,King Vidor
1927,ENGINEERING EFFECTS,No,Ralph Hammeras
1927,ENGINEERING EFFECTS,Yes,Roy Pomeroy
1927,ENGINEERING EFFECTS,No,Nugent Slaughter
1927,OUTSTANDING PICTURE,No,The Caddo Company
1927,OUTSTANDING PICTURE,No,Fox
1927,OUTSTANDING PICTURE,Yes,Wings
1927,UNIQUE AND ARTISTIC PICTURE,Yes,Fox
1927,UNIQUE AND ARTISTIC PICTURE,No,Metro-Goldwyn-Mayer
1927,UNIQUE AND ARTISTIC PICTURE,No,Paramount Famous Lasky
1927,WRITING (Adaptation),No,Alfred Cohn
1927,WRITING (Adaptation),No,Anthony Coldeway
1927,WRITING (Adaptation),Yes,Benjamin Glazer
1927,WRITING (Original Story),No,Lajos Biro
1927,WRITING (Original Story),Yes,Ben Hecht
1927,WRITING (Title Writing),No,Gerald Duffy
1927,WRITING (Title Writing),Yes,Joseph Farnham
1927,WRITING (Title Writing),No,"George Marion, Jr."
1927,SPECIAL AWARD,Yes,"To Warner Bros., for producing The Jazz Singer , the pioneer outstanding talking picture, which has revolutionized the industry."
1927,SPECIAL AWARD,Yes,"To Charles Chaplin, for acting, writing, directing and producing The Circus ."
1928,ACTOR,No,George Bancroft
1928,ACTOR,Yes,Warner Baxter
1928,ACTOR,No,Chester Morris
1928,ACTOR,No,Paul Muni
1928,ACTOR,No,Lewis Stone
1928,ACTRESS,No,Ruth Chatterton
1928,ACTRESS,No,Betty Compson
