category,year,entity
OUTSTANDING PICTURE,1927,Wings
OUTSTANDING PICTURE,1928,The Broadway Melody
OUTSTANDING PRODUCTION,1929,All Quiet on the Western Front
OUTSTANDING PRODUCTION,1930,Cimarron
OUTSTANDING PRODUCTION,1931,Grand Hotel
OUTSTANDING PRODUCTION,1932,Cavalcade
OUTSTANDING PRODUCTION,1933,Cavalcade
OUTSTANDING PRODUCTION,1934,It Happened One Night
OUTSTANDING PRODUCTION,1935,Mutiny on the Bounty
OUTSTANDING PRODUCTION,1936,The Great Ziegfeld
OUTSTANDING PRODUCTION,1937,The Life of Emile Zola
OUTSTANDING PRODUCTION,1938,You Can't Take It with You
OUTSTANDING PRODUCTION,1939,Gone with the Wind
OUTSTANDING PRODUCTION,1940,Rebecca
OUTSTANDING MOTION PICTURE,1941,How Green Was My Valley
OUTSTANDING MOTION PICTURE,1942,Mrs. Miniver
OUTSTANDING MOTION PICTURE,1943,Casablanca
BEST MOTION PICTURE,1944,Going My Way
BEST MOTION PICTURE,1945,The Lost Weekend
BEST MOTION PICTURE,1946,The Best Years of Our Lives
BEST MOTION PICTURE,1947,Gentleman's Agreement
BEST MOTION PICTURE,1948,Hamlet
BEST MOTION PICTURE,1949,All the King's Men
BEST MOTION PICTURE,1950,All about Eve
BEST MOTION PICTURE,1951,An American in Paris
BEST MOTION PICTURE,1952,The Greatest Show on Earth
BEST MOTION PICTURE,1953,From Here to Eternity
BEST MOTION PICTURE,1954,On the Waterfront
BEST MOTION PICTURE,1955,Marty
BEST MOTION PICTURE,1956,Around the World in 80 Days
BEST MOTION PICTURE,1957,The Bridge on the River Kwai
BEST MOTION PICTURE,1958,Gigi
BEST MOTION PICTURE,1959,Ben-Hur
BEST MOTION PICTURE,1960,The Apartment
BEST MOTION PICTURE,1961,West Side Story
BEST PICTURE,1962,Lawrence of Arabia
BEST PICTURE,1963,Tom Jones
BEST PICTURE,1964,My Fair Lady
BEST PICTURE,1965,The Sound of Music
BEST PICTURE,1966,A Man for All Seasons
BEST PICTURE,1967,In the Heat of the Night
BEST PICTURE,1968,Oliver!
BEST PICTURE,1969,Midnight Cowboy
BEST PICTURE,1970,Patton
BEST PICTURE,1971,The French Connection
BEST PICTURE,1972,The Godfather
BEST PICTURE,1973,The Sting
BEST PICTURE,1974,The Godfather Part II
BEST PICTURE,1975,One Flew over the Cuckoo's Nest
BEST PICTURE,1976,Rocky
BEST PICTURE,1977,Annie Hall
BEST PICTURE,1978,The Deer Hunter
BEST PICTURE,1979,Kramer vs. Kramer
BEST PICTURE,1980,Ordinary People
BEST PICTURE,1981,Chariots of Fire
BEST PICTURE,1982,Gandhi
BEST PICTURE,1983,Terms of Endearment
BEST PICTURE,1984,Amadeus
BEST PICTURE,1985,Out of Africa
BEST PICTURE,1986,Platoon
BEST PICTURE,1987,The Last Emperor
BEST PICTURE,1988,Rain Man
BEST PICTURE,1989,Driving Miss Daisy
BEST PICTURE,1990,Dances With Wolves
BEST PICTURE,1991,The Silence of the Lambs
BEST PICTURE,1992,Unforgiven
BEST PICTURE,1993,Schindler's List
BEST PICTURE,1994,Forrest Gump
BEST PICTURE,1995,Braveheart
BEST PICTURE,1996,The English Patient
BEST PICTURE,1997,Titanic
BEST PICTURE,1998,Shakespeare in Love
BEST PICTURE,1999,American Beauty
BEST PICTURE,2000,Gladiator
BEST PICTURE,2001,A Beautiful Mind
BEST PICTURE,2002,Chicago
BEST PICTURE,2003,The Lord of the Rings: The Return of the King
BEST PICTURE,2004,Million Dollar Baby
BEST PICTURE,2005,Crash
BEST PICTURE,2006,The Departed
BEST PICTURE,2007,No Country for Old Men
BEST PICTURE,2008,Slumdog Millionaire
BEST PICTURE,2009,The Hurt Locker
BEST PICTURE,2010,The King's Speech
BEST PICTURE,2011,The Artist
BEST PICTURE,2012,Argo
BEST PICTURE,2013,12 Years a Slave
BEST PICTURE,2014,Birdman or (The Unexpected Virtue of Ignorance)
BEST PICTURE,2015,Spotlight
BEST PICTURE,2016,Moonlight
BEST PICTURE,2017,The Shape of Water
BEST PICTURE,2018,Green Book
BEST PICTURE,2019,Parasite
