Year,Movie Title,Actors,Gender,Race
1927,The Battles of the Coronel and Falkland Islands,Roger Maxwell,Male,White
1927,The Battles of the Coronel and Falkland Islands,Craighall Sherry,Male,White
1927,The Battles of the Coronel and Falkland Islands,Hans von Slock,Male,White
1928,Lights of New York,Helene Costello,Female,White
1928,Lights of New York, Cullen Landis,Male,White
1928,Lights of New York, Mary Carr,Female,White
1928,Lights of New York, Wheeler Oakman,Male,White
1929,The Broadway Melody,Charles King,Male,White
1929,The Broadway Melody, Anita Page,Female,White
1929,The Broadway Melody, Bessie Love,Female,White
1930,Tom Sawyer,Johnny Whitaker,Male,White
1930,Tom Sawyer, Celeste Holm,Female,White
1930,Tom Sawyer, Warren Oates,Male,White
1930,Tom Sawyer, Jeff East,Male,White
1931,Frankenstein,Colin Clive,Male,White
1931,Frankenstein, Mae Clarke,Female,White
1931,Frankenstein, John Boles,Male,White
1931,Frankenstein, Boris Karloff,Male,White
1932,Grand Hotel,Greta Garbo,Female,White
1932,Grand Hotel, John Barrymore,Male,White
1932,Grand Hotel, Joan Crawford,Female,White
1932,Grand Hotel, Wallace Beery,Male,White
1933,King Kong,Fay Wray,Female,White
1933,King Kong,Robert Armstrong,Male,White
1933,King Kong,Bruce Cabot,Male,White
1933,King Kong,Frank Reicher,Male,White
1934,The Man Who Knew Too Much,Leslie Banks,Male,White
1934,The Man Who Knew Too Much,Edna Best,Female,White
1934,The Man Who Knew Too Much,Peter Lorre,Male,White
1934,The Man Who Knew Too Much,Frank Vosper,Male,White
1935,Mutiny on the Bounty,Charles Laughton,Male,White
1935,Mutiny on the Bounty, Clark Gable,Male,White
1935,Mutiny on the Bounty, Franchot Tone,Male,White
1935,Mutiny on the Bounty, Herbert Mundin,Male,White
1936,Modern Times,Charles Chaplin,Male,White
1936,Modern Times, Paulette Goddard,Female,White
1936,Modern Times, Henry Bergman,Male,White
1936,Modern Times, Tiny Sandford,Male,White
1937,Snow White and the Seven Dwarfs,Roy Atwell,Male,White
1937,Snow White and the Seven Dwarfs, Stuart Buchanan,Male,White
1937,Snow White and the Seven Dwarfs, Adriana Caselotti,Female,White
1937,Snow White and the Seven Dwarfs, Eddie Collins,Male,White
1938,You Can't Take It with You,Jean Arthur,Male,White
1938,You Can't Take It with You, Lionel Barrymore,Male,White
1938,You Can't Take It with You, James Stewart,Male,White
1938,You Can't Take It with You, Edward Arnold,Male,White
1939,Gone with the Wind,Thomas Mitchell,Male,White
1939,Gone with the Wind, Barbara O'Neil,Female,White
1939,Gone with the Wind, Vivien Leigh,Female,White
1939,Gone with the Wind, Evelyn Keyes,Female,White
1940,Pinocchio,Mel Blanc,Male,White
1940,Pinocchio, Don Brodie,Male,White
1940,Pinocchio, Stuart Buchanan,Male,White
1940,Pinocchio, Walter Catlett,Male,White
1941,Citizen Kane,Joseph Cotten,Male,White
1941,Citizen Kane, Dorothy Comingore,Female,White
1941,Citizen Kane, Agnes Moorehead,Female,White
