,category,year,entity
0,OUTSTANDING PICTURE,1928,Wings
1,OUTSTANDING PICTURE,1929,The Broadway Melody
2,OUTSTANDING PRODUCTION,1930,All Quiet on the Western Front
3,OUTSTANDING PRODUCTION,1931,Cimarron
4,OUTSTANDING PRODUCTION,1932,Grand Hotel
5,OUTSTANDING PRODUCTION,1933,Cavalcade
6,OUTSTANDING PRODUCTION,1935,It Happened One Night
7,OUTSTANDING PRODUCTION,1936,Mutiny on the Bounty
8,OUTSTANDING PRODUCTION,1937,The Great Ziegfeld
9,OUTSTANDING PRODUCTION,1938,The Life of Emile Zola
10,OUTSTANDING PRODUCTION,1939,You Can't Take It with You
11,OUTSTANDING PRODUCTION,1940,Gone with the Wind
12,OUTSTANDING PRODUCTION,1941,Rebecca
13,OUTSTANDING MOTION PICTURE,1942,How Green Was My Valley
14,OUTSTANDING MOTION PICTURE,1943,Mrs. Miniver
15,OUTSTANDING MOTION PICTURE,1944,Casablanca
16,BEST MOTION PICTURE,1945,Going My Way
17,BEST MOTION PICTURE,1946,The Lost Weekend
18,BEST MOTION PICTURE,1947,The Best Years of Our Lives
19,BEST MOTION PICTURE,1948,Gentleman's Agreement
20,BEST MOTION PICTURE,1949,Hamlet
21,BEST MOTION PICTURE,1950,All the King's Men
22,BEST MOTION PICTURE,1951,All about Eve
23,BEST MOTION PICTURE,1952,An American in Paris
24,BEST MOTION PICTURE,1953,The Greatest Show on Earth
25,BEST MOTION PICTURE,1954,From Here to Eternity
26,BEST MOTION PICTURE,1955,On the Waterfront
27,BEST MOTION PICTURE,1956,Marty
28,BEST MOTION PICTURE,1957,Around the World in 80 Days
29,BEST MOTION PICTURE,1958,The Bridge on the River Kwai
30,BEST MOTION PICTURE,1959,Gigi
31,BEST MOTION PICTURE,1960,Ben-Hur
32,BEST MOTION PICTURE,1961,The Apartment
33,BEST MOTION PICTURE,1962,West Side Story
34,BEST PICTURE,1963,Lawrence of Arabia
35,BEST PICTURE,1964,Tom Jones
36,BEST PICTURE,1965,My Fair Lady
37,BEST PICTURE,1966,The Sound of Music
38,BEST PICTURE,1967,A Man for All Seasons
39,BEST PICTURE,1968,In the Heat of the Night
40,BEST PICTURE,1969,Oliver!
41,BEST PICTURE,1970,Midnight Cowboy
42,BEST PICTURE,1971,Patton
43,BEST PICTURE,1972,The French Connection
44,BEST PICTURE,1973,The Godfather
45,BEST PICTURE,1974,The Sting
46,BEST PICTURE,1975,The Godfather Part II
47,BEST PICTURE,1976,One Flew over the Cuckoo's Nest
48,BEST PICTURE,1977,Rocky
49,BEST PICTURE,1978,Annie Hall
50,BEST PICTURE,1979,The Deer Hunter
51,BEST PICTURE,1980,Kramer vs. Kramer
52,BEST PICTURE,1981,Ordinary People
53,BEST PICTURE,1982,Chariots of Fire
54,BEST PICTURE,1983,Gandhi
55,BEST PICTURE,1984,Terms of Endearment
56,BEST PICTURE,1985,Amadeus
57,BEST PICTURE,1986,Out of Africa
58,BEST PICTURE,1987,Platoon
59,BEST PICTURE,1988,The Last Emperor
60,BEST PICTURE,1989,Rain Man
61,BEST PICTURE,1990,Driving Miss Daisy
62,BEST PICTURE,1991,Dances With Wolves
63,BEST PICTURE,1992,The Silence of the Lambs
64,BEST PICTURE,1993,Unforgiven
65,BEST PICTURE,1994,Schindler's List
66,BEST PICTURE,1995,Forrest Gump
67,BEST PICTURE,1996,Braveheart
68,BEST PICTURE,1997,The English Patient
69,BEST PICTURE,1998,Titanic
70,BEST PICTURE,1999,Shakespeare in Love
71,BEST PICTURE,2000,American Beauty
72,BEST PICTURE,2001,Gladiator
73,BEST PICTURE,2002,A Beautiful Mind
74,BEST PICTURE,2003,Chicago
75,BEST PICTURE,2004,The Lord of the Rings: The Return of the King
76,BEST PICTURE,2005,Million Dollar Baby
77,BEST PICTURE,2006,Crash
78,BEST PICTURE,2007,The Departed
79,BEST PICTURE,2008,No Country for Old Men
80,BEST PICTURE,2009,Slumdog Millionaire
81,BEST PICTURE,2010,The Hurt Locker
82,BEST PICTURE,2011,The King's Speech
83,BEST PICTURE,2012,The Artist
84,BEST PICTURE,2013,Argo
85,BEST PICTURE,2014,12 Years a Slave
86,BEST PICTURE,2015,Birdman or (The Unexpected Virtue of Ignorance)
87,BEST PICTURE,2016,Spotlight
88,BEST PICTURE,2017,Moonlight
89,BEST PICTURE,2018,The Shape of Water
90,BEST PICTURE,2019,Green Book
91,BEST PICTURE,2020,Parasite
