Year,Movie Title,Actors
1927,The Battles of the Coronel and Falkland Islands,
1928,Lights of New York,Helene Costello
1928,Lights of New York, Cullen Landis
1928,Lights of New York, Mary Carr
1928,Lights of New York, Wheeler Oakman
1929,The Broadway Melody,Charles King
1929,The Broadway Melody, Anita Page
1929,The Broadway Melody, Bessie Love
1930,Tom Sawyer,Johnny Whitaker
1930,Tom Sawyer, Celeste Holm
1930,Tom Sawyer, Warren Oates
1930,Tom Sawyer, Jeff East
1931,Frankenstein,Colin Clive
1931,Frankenstein, Mae Clarke
1931,Frankenstein, John Boles
1931,Frankenstein, Boris Karloff
1932,Grand Hotel,Greta Garbo
1932,Grand Hotel, John Barrymore
1932,Grand Hotel, Joan Crawford
1932,Grand Hotel, Wallace Beery
1933,King Kong,Naomi Watts
1933,King Kong, Jack Black
1933,King Kong, Adrien Brody
1933,King Kong, Thomas Kretschmann
1934,The Man Who Knew Too Much,James Stewart
1934,The Man Who Knew Too Much, Doris Day
1934,The Man Who Knew Too Much, Brenda de Banzie
1934,The Man Who Knew Too Much, Bernard Miles
1935,Mutiny on the Bounty,Charles Laughton
1935,Mutiny on the Bounty, Clark Gable
1935,Mutiny on the Bounty, Franchot Tone
1935,Mutiny on the Bounty, Herbert Mundin
1936,Modern Times,Charles Chaplin
1936,Modern Times, Paulette Goddard
1936,Modern Times, Henry Bergman
1936,Modern Times, Tiny Sandford
1937,Snow White and the Seven Dwarfs,Roy Atwell
1937,Snow White and the Seven Dwarfs, Stuart Buchanan
1937,Snow White and the Seven Dwarfs, Adriana Caselotti
1937,Snow White and the Seven Dwarfs, Eddie Collins
1938,You Can't Take It with You,Jean Arthur
1938,You Can't Take It with You, Lionel Barrymore
1938,You Can't Take It with You, James Stewart
1938,You Can't Take It with You, Edward Arnold
1939,Gone with the Wind,Thomas Mitchell
1939,Gone with the Wind, Barbara O'Neil
1939,Gone with the Wind, Vivien Leigh
1939,Gone with the Wind, Evelyn Keyes
1940,Pinocchio,Mel Blanc
1940,Pinocchio, Don Brodie
1940,Pinocchio, Stuart Buchanan
1940,Pinocchio, Walter Catlett
1941,Citizen Kane,Joseph Cotten
1941,Citizen Kane, Dorothy Comingore
1941,Citizen Kane, Agnes Moorehead
1941,Citizen Kane, Ruth Warrick
1942,Bambi,Hardie Albright
1942,Bambi, Stan Alexander
1942,Bambi, Bobette Audrey
1942,Bambi, Peter Behn
1943,Hitler's Children,Bettina Göring
1943,Hitler's Children, Katrin Himmler
1943,Hitler's Children, Monika Hertwig
1943,Hitler's Children, Rainer Höß
1944,Going My Way,Bing Crosby
1944,Going My Way, Barry Fitzgerald
1944,Going My Way, Frank McHugh
1944,Going My Way, James Brown
1945,The Bells of St. Mary's,Bing Crosby
1945,The Bells of St. Mary's, Ingrid Bergman
1945,The Bells of St. Mary's, Henry Travers
1945,The Bells of St. Mary's, William Gargan
1946,Seeds of Destiny,Ralph Bellamy
1947,Gentleman's Agreement,Gregory Peck
1947,Gentleman's Agreement, Dorothy McGuire
1947,Gentleman's Agreement, John Garfield
1947,Gentleman's Agreement, Celeste Holm
1948,Red River,John Wayne
1948,Red River, Montgomery Clift
1948,Red River, Joanne Dru
1948,Red River, Walter Brennan
1949,Samson and Delilah,Hedy Lamarr
1949,Samson and Delilah, Victor Mature
1949,Samson and Delilah, George Sanders
1949,Samson and Delilah, Angela Lansbury
1950,Cinderella,Cate Blanchett
1950,Cinderella, Lily James
1950,Cinderella, Richard Madden
1950,Cinderella, Helena Bonham Carter
