Year,Movie ID,Movie Title,Revenue,IMDB ID,Bechdel Score
1927,287262,The Battles of the Coronel and Falkland Islands,6241682,221007,Unknown
1928,173689,Lights of New York,1200000,19096,Unknown
1929,65203,The Broadway Melody,4358000,19729,3
1930,166307,Tom Sawyer,11000000,70814,Unknown
1931,3035,Frankenstein,12000000,21884,1
1932,33680,Grand Hotel,2594000,22958,3
1933,244,King Kong,10000000,360717,0
1934,8208,The Man Who Knew Too Much,10250000,49470,2
1935,12311,Mutiny on the Bounty,4460000,26752,1
1936,3082,Modern Times,8500000,27977,0
1937,408,Snow White and the Seven Dwarfs,184925486,29583,3
1938,34106,You Can't Take It with You,7433101,30993,Unknown
1939,770,Gone with the Wind,402352579,31381,3
1940,10895,Pinocchio,84300000,32910,1
1941,15,Citizen Kane,23217674,33467,1
1942,3170,Bambi,267447150,34492,1
1943,98493,Hitler's Children,3355000,2359085,Unknown
1944,17661,Going My Way,16300000,36872,Unknown
1945,32430,The Bells of St. Mary's,21300000,37536,Unknown
1946,240417,Seeds of Destiny,200000000,38919,Unknown
1947,33667,Gentleman's Agreement,7800000,39416,Unknown
1948,3089,Red River,9012000,40724,0
1949,29993,Samson and Delilah,11500000,41838,Unknown
1950,11224,Cinderella,263591415,1661199,3
1951,12092,Alice in Wonderland,572000000,1014759,3
1952,27191,The Greatest Show on Earth,36000000,44672,Unknown
1953,10693,Peter Pan,87404651,46183,3
1954,567,Rear Window,36764313,47396,3
1955,10340,Lady and the Tramp,93933394,48280,2
1956,6844,The Ten Commandments,122700000,49833,2
1957,826,The Bridge on the River Kwai,44908000,50212,1
1958,17352,South Pacific,36800000,52225,3
1959,665,Ben-Hur,164000000,52618,3
1960,967,Spartacus,60000000,1442449,2
1961,12230,One Hundred and One Dalmatians,215880014,55254,3
1962,11349,Cape Fear,103000000,101540,3
1963,657,From Russia with Love,78898765,57076,3
1964,658,Goldfinger,124881062,58150,1
1965,15121,The Sound of Music,286214286,59742,3
1966,14689,Hawaii,34562222,2801746,Unknown
1967,9325,The Jungle Book,205843612,3040964,2
1968,62,2001: A Space Odyssey,68700000,62622,0
1969,642,Butch Cassidy and the Sundance Kid,102308889,64115,1
1970,9062,Love Story,136400000,66011,1
1971,3122,La figlia di Frankenstein,139683000,67321,Unknown
1972,238,The Godfather,245066411,68646,2
1973,9552,The Exorcist,441306145,70047,3
1974,11072,Blazing Saddles,119601481,71230,1
1975,578,Jaws,470653000,73195,3
1976,195012,To Fly!,120700000,75333,Unknown
1977,11,Star Wars,775398007,76759,1
1978,1924,Superman,300218018,78346,1
1979,698,Moonraker,210308099,79574,1
1980,1891,The Empire Strikes Back,538400000,80684,0
1981,85,Raiders of the Lost Ark,389925971,82971,3
1982,601,E.T. the Extra-Terrestrial,792965326,83866,3
1983,1892,Return of the Jedi,572700000,86190,1
1984,87,Indiana Jones and the Temple of Doom,333000000,87469,0
1985,105,Back to the Future,381109762,88763,2
1986,744,Top Gun,356830601,92099,2
1987,10998,Fatal Attraction,320145693,93010,3
1988,380,Rain Man,354825435,95953,1
1989,89,Indiana Jones and the Last Crusade,474171806,97576,0
1990,251,Ghost,505000000,99653,3
1991,280,Terminator 2: Judgment Day,520000000,103064,3
1992,812,Aladdin,504050219,103639,0
1993,329,Jurassic Park,920100000,107290,3
1994,8587,The Lion King,763455561,110357,1
1995,862,Toy Story,373554033,114709,1
1996,602,Independence Day,817400891,116629,3
1997,597,Titanic,2187463944,120338,3
1998,95,Armageddon,553799566,120591,1
1999,1893,Star Wars: Episode I - The Phantom Menace,924317558,120915,3
2000,955,Mission: Impossible II,546388105,120755,0
2001,671,Harry Potter and the Philosopher's Stone,976475550,241527,3
2002,121,The Lord of the Rings: The Two Towers,926287400,167261,3
2003,122,The Lord of the Rings: The Return of the King,1118888979,167260,1
2004,809,Shrek 2,928760770,298148,3
2005,674,Harry Potter and the Goblet of Fire,895921036,330373,1
2006,58,Pirates of the Caribbean: Dead Man's Chest,1065659812,383574,2
2007,285,Pirates of the Caribbean: At World's End,961000000,449088,3
2008,155,The Dark Knight,1004558444,468569,3
2009,19995,Avatar,2787965087,499549,2
2010,10193,Toy Story 3,1066969703,435761,3
2011,12445,Harry Potter and the Deathly Hallows: Part 2,1341511219,1201607,3
2012,24428,The Avengers,1519557910,848228,1
2013,109445,Frozen,1274219009,2294629,3
2014,91314,Transformers: Age of Extinction,1104054072,2109248,3
2015,140607,Star Wars: The Force Awakens,2068223624,7768640,3
2016,271110,Captain America: Civil War,1153296293,3498820,3
2017,181808,Star Wars: The Last Jedi,1332539889,3486354,3
2018,299536,Avengers: Infinity War,2046239637,4154756,3
2019,299534,Avengers: Endgame,2797800564,4154796,3
